# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Standard Edition
# File: C:\Users\eric\Desktop\projects\sandia\psec4a_32_channel\firmware-psec4a-pixp\par\psec4a-pixp-pinout-3-9-2019.csv
# Generated on: Sat Mar 09 14:15:25 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
clk_i[2],Input,PIN_N20,6A,B6A_N0,LVDS,,,,clk_i[2](n),,,,,,,,,
clk_i[1],Input,PIN_G15,7A,B7A_N0,LVDS,,,,clk_i[1](n),,,,,,,,,
clk_i[0],Input,PIN_Y15,4A,B4A_N0,LVDS,,,,clk_i[0](n),,,,,,,,,
dac_cntrl_io[4],Bidir,PIN_Y23,5A,B5A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
dac_cntrl_io[3],Bidir,PIN_V22,5A,B5A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
dac_cntrl_io[2],Bidir,PIN_U22,5A,B5A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
dac_cntrl_io[1],Bidir,PIN_AA23,5A,B5A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
dac_cntrl_io[0],Bidir,PIN_AA22,5A,B5A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
ext_trig_i,Input,PIN_L7,8A,B8A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
ext_trig_o,Output,PIN_K6,8A,B8A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
ftdi_abus_io[15],Bidir,PIN_A7,8A,B8A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
ftdi_abus_io[14],Bidir,PIN_A5,8A,B8A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
ftdi_abus_io[13],Bidir,PIN_B7,8A,B8A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
ftdi_abus_io[12],Bidir,PIN_B6,8A,B8A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
ftdi_abus_io[11],Bidir,PIN_C7,8A,B8A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
ftdi_abus_io[10],Bidir,PIN_D6,8A,B8A_N0,3.3-V LVCMOS,,,,,,,,,,,,,
