# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Standard Edition
# File: C:\Users\eric\Desktop\projects\sandia\psec4a_32_channel\firmware-psec4a-pixp\par\psec4a-pixp-pinout-4-22-2019.csv
# Generated on: Mon Apr 22 13:19:05 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
clk_i[2],Input,PIN_G15,7A,B7A_N0,PIN_G15,LVDS,,,,clk_i[2](n),,,,,,,,,
clk_i[1],Input,PIN_T13,3B,B3B_N0,PIN_T13,LVDS,,,,clk_i[1](n),,,,,,,,,
clk_i[0],Input,PIN_Y15,4A,B4A_N0,PIN_Y15,LVDS,,,,clk_i[0](n),,,,,,,,,
clk_i[1](n),Input,PIN_T12,3B,B3B_N0,PIN_T12,LVDS,,,,clk_i[1],,,,,,,,,
clk_i[0](n),Input,PIN_Y16,4A,B4A_N0,PIN_Y16,LVDS,,,,clk_i[0],,,,,,,,,
clk_i[2](n),Input,PIN_G14,7A,B7A_N0,PIN_G14,LVDS,,,,clk_i[2],,,,,,,,,
clk_o,Output,PIN_AF7,3B,B3B_N0,PIN_AF7,LVDS,,,,clk_o(n),,,,,,,,,
dac_cntrl_io[4],Bidir,PIN_Y23,5A,B5A_N0,PIN_Y23,3.3-V LVCMOS,,,,,,,,,,,,,
dac_cntrl_io[3],Bidir,PIN_V22,5A,B5A_N0,PIN_V22,3.3-V LVCMOS,,,,,,,,,,,,,
dac_cntrl_io[2],Bidir,PIN_U22,5A,B5A_N0,PIN_U22,3.3-V LVCMOS,,,,,,,,,,,,,
dac_cntrl_io[1],Bidir,PIN_AA23,5A,B5A_N0,PIN_AA23,3.3-V LVCMOS,,,,,,,,,,,,,
dac_cntrl_io[0],Bidir,PIN_AA22,5A,B5A_N0,PIN_AA22,3.3-V LVCMOS,,,,,,,,,,,,,
ext_trig_i,Input,PIN_A5,8A,B8A_N0,PIN_A5,2.5 V,,,,,,,,,,,,,
ftdi_uart_io[1],Bidir,PIN_R10,3A,B3A_N0,PIN_R10,3.3-V LVCMOS,,,,,,,,,,,,,
ftdi_uart_io[0],Bidir,PIN_R9,3A,B3A_N0,PIN_R9,3.3-V LVCMOS,,,,,,,,,,,,,
gpio_io[7],Bidir,PIN_H8,8A,B8A_N0,PIN_H8,2.5 V,,,,,,,,,,,,,
gpio_io[6],Bidir,PIN_H9,8A,B8A_N0,PIN_H9,2.5 V,,,,,,,,,,,,,
gpio_io[5],Bidir,PIN_G7,8A,B8A_N0,PIN_G7,2.5 V,,,,,,,,,,,,,
gpio_io[4],Bidir,PIN_F7,8A,B8A_N0,PIN_F7,2.5 V,,,,,,,,,,,,,
gpio_io[3],Bidir,PIN_D7,8A,B8A_N0,PIN_D7,2.5 V,,,,,,,,,,,,,
gpio_io[2],Bidir,PIN_D8,8A,B8A_N0,PIN_D8,2.5 V,,,,,,,,,,,,,
gpio_io[1],Bidir,PIN_C7,8A,B8A_N0,PIN_C7,2.5 V,,,,,,,,,,,,,
gpio_io[0],Bidir,PIN_B7,8A,B8A_N0,PIN_B7,2.5 V,,,,,,,,,,,,,
gpio_pd_board_io[5],Bidir,PIN_AA6,3A,B3A_N0,PIN_AA6,3.3-V LVCMOS,,,,,,,,,,,,,
gpio_pd_board_io[4],Bidir,PIN_T7,3A,B3A_N0,PIN_T7,3.3-V LVCMOS,,,,,,,,,,,,,
gpio_pd_board_io[3],Bidir,PIN_AA7,3A,B3A_N0,PIN_AA7,3.3-V LVCMOS,,,,,,,,,,,,,
gpio_pd_board_io[2],Bidir,PIN_AD7,3A,B3A_N0,PIN_AD7,3.3-V LVCMOS,,,,,,,,,,,,,
gpio_pd_board_io[1],Bidir,PIN_T8,3A,B3A_N0,PIN_T8,3.3-V LVCMOS,,,,,,,,,,,,,
gpio_pd_board_io[0],Bidir,PIN_AB6,3A,B3A_N0,PIN_AB6,3.3-V LVCMOS,,,,,,,,,,,,,
led_o[2],Output,PIN_G6,8A,B8A_N0,PIN_G6,2.5 V,,,,,,,,,,,,,
led_o[1],Output,PIN_F6,8A,B8A_N0,PIN_F6,2.5 V,,,,,,,,,,,,,
led_o[0],Output,PIN_E6,8A,B8A_N0,PIN_E6,2.5 V,,,,,,,,,,,,,
optical_uart_io[1],Bidir,PIN_P8,3A,B3A_N0,PIN_P8,3.3-V LVCMOS,,,,,,,,,,,,,
optical_uart_io[0],Bidir,PIN_R8,3A,B3A_N0,PIN_R8,3.3-V LVCMOS,,,,,,,,,,,,,
pll_cntrl_io[7],Bidir,PIN_W8,3A,B3A_N0,PIN_W8,3.3-V LVCMOS,,,,,,,,,,,,,
pll_cntrl_io[6],Bidir,PIN_Y8,3A,B3A_N0,PIN_Y8,3.3-V LVCMOS,,,,,,,,,,,,,
